id;user_id;phone_number;email;device_token;phone_verified;email_verified
1;before oof;swim afore gee;Columbus_Schaefer30@hotmail.com;wombat impeccable cone;false;true
2;foolishly neglected suckle;drat;Gardner.Keeling@yahoo.com;dependable packaging reasonable;true;false
3;throbbing team;precious rosy;Jaron91@yahoo.com;mmm dim;false;false
4;until nun;ethical circular;Norma_Medhurst90@gmail.com;pack;true;true
5;sympathetically insecure;crackle venture closed;Arvid96@gmail.com;above frenetically humor;false;true
6;zowie meatloaf;whether uh-huh;Camron.Kunde@gmail.com;separate;false;false
7;upside-down ack;throughout;Enrique28@yahoo.com;geez behind until;true;false
8;who emerge;publicity;Andy_Bahringer@yahoo.com;hot blah inasmuch;true;true
9;aw judicious forgery;until;Amie44@hotmail.com;till perspire ligate;false;false
10;disapprove stingy solvency;who;Mathias_OConner-Dicki@yahoo.com;incandescence;true;false
